,Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
5912,22,K217,P.S. 217 - BROOKLYN,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",PNS,PNS,PNS,PNS,15000,22384,0,DSF: 0000844789
5913,22,K222,P.S. 222 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866703
5914,22,K222,P.S. 222 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866703
5915,22,K222,P.S. 222 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000866703
5916,22,K222,P.S. 222 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866703
5917,22,K222,P.S. 222 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/5/17,1/15/18,10/5/17,125000,124055,124055,DSF: 0000845263
5918,22,K222,P.S. 222 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,2/2/17,DOEL,9/6/17,DOEL,585,585,DSF:
5919,22,K222,P.S. 222 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,8/30/17,DOES,,DOES,170000,2263,DSF: 0000865975
5920,22,K234,I.S. 234 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSION,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867187
5921,22,K234,I.S. 234 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSION,Design,PNS,PNS,PNS,PNS,24120,24120,0,DSF: 0000867187
5922,22,K234,I.S. 234 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,353760,353760,0,DSF: 0000867187
5923,22,K234,I.S. 234 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSION,"CM, F&E",PNS,PNS,PNS,PNS,24120,24120,0,DSF: 0000867187
5924,22,K234,I.S. 234 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/5/17,1/15/18,10/13/17,125000,124062,124062,DSF: 0000844257
5925,22,K234,I.S. 234 - BROOKLYN,DOE- RESOA,FY17 RESO A FITNESS CENTER UPGRADE,Construction,In-Progress,4/11/17,DOER,,125000,125000,32163,DSF: 0000844779
5926,22,K236,P.S. 236 - BROOKLYN,SCA CIP,EXT MASONRY/ROOFS/PARAPETS/FLOOD/TCU/IRON FENCE,Scope,Complete,3/21/13,2/28/17,1/5/17,276878,235969,207667,"DSF: 0000775684, 0000781499, 0000781500, 0000804795, 0000844159, 0000849125"
5927,22,K236,P.S. 236 - BROOKLYN,SCA CIP,EXT MASONRY/ROOFS/PARAPETS/FLOOD/TCU/IRON FENCE,Design,Complete,1/23/17,7/24/17,5/17/17,1099028,539737,527482,"DSF: 0000775684, 0000781499, 0000781500, 0000804795, 0000844159, 0000849125"
5928,22,K236,P.S. 236 - BROOKLYN,SCA CIP,EXT MASONRY/ROOFS/PARAPETS/FLOOD/TCU/IRON FENCE,Construction,PNS,PNS,PNS,PNS,19845789,19845789,283499,"DSF: 0000775684, 0000781499, 0000781500, 0000804795, 0000844159, 0000849125"
5929,22,K236,P.S. 236 - BROOKLYN,SCA CIP,EXT MASONRY/ROOFS/PARAPETS/FLOOD/TCU/IRON FENCE,"CM, F&E",PNS,PNS,PNS,PNS,1402324,1402324,88422,"DSF: 0000775684, 0000781499, 0000781500, 0000804795, 0000844159, 0000849125"
5930,22,K236,P.S. 236 - BROOKLYN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Scope,Complete,2/3/17,6/6/17,3/10/17,0,6804,6804,DSF: 0000844852
5931,22,K236,P.S. 236 - BROOKLYN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,Complete,3/10/17,8/9/17,5/19/17,14815,28207,23239,DSF: 0000844852
5932,22,K236,P.S. 236 - BROOKLYN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,7/5/17,1/30/18,,217287,201899,66529,DSF: 0000844852
5933,22,K236,P.S. 236 - BROOKLYN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",In-Progress,7/5/17,1/30/18,,14815,22706,14903,DSF: 0000844852
5934,22,K236,P.S. 236 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,In-Progress,12/21/17,4/25/18,,0,0,0,DSF: 0000867287
5935,22,K236,P.S. 236 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000867287
5936,22,K236,P.S. 236 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000867287
5937,22,K236,P.S. 236 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000867287
5938,22,K236,P.S. 236 - BROOKLYN,SCA IEH,"IEH PO18-CAFETERIA,AREA BEHIND KITCHEN,HALLWAY BEH",Construction,Complete,4/24/17,IEH,7/13/17,IEH,122300,5200,DSF: 0000046380
5939,22,K236,P.S. 236 - BROOKLYN,SCA IEH,"IEH PO18-MAIN OFFICE RM117,PRINCIPAL'S OFFICE RM 1",Construction,In-Progress,8/10/17,IEH,,IEH,48957,8572,DSF: 0000048086
5940,22,K236,P.S. 236 - BROOKLYN,SCA IEH,"IEH PO18-RMS 118,120,121,121A,121B, 121 CLOSET,123",Construction,In-Progress,11/27/17,IEH,,IEH,90518,1736,DSF: 0000049491
5941,22,K236,P.S. 236 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,338026,0,DSF: 0000776844
5942,22,K240,I.S. 240 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866667
5943,22,K240,I.S. 240 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866667
5944,22,K240,I.S. 240 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000866667
5945,22,K240,I.S. 240 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866667
5946,22,K240,I.S. 240 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/5/17,7/5/17,9/20/17,35000,34734,34734,DSF: 0000845485
5947,22,K240,I.S. 240 - BROOKLYN,DOE- RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,10/6/16,DOER,,75000,80453,80453,DSF: 0000822874
5948,22,K251,P.S. 251 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867288
5949,22,K251,P.S. 251 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000867288
5950,22,K251,P.S. 251 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000867288
5951,22,K251,P.S. 251 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000867288
5952,22,K251,P.S. 251 - BROOKLYN,SCA IEH,IEH PO18-RM 140,Construction,Complete,4/5/17,IEH,7/6/17,IEH,30813,1572,DSF: 0000046107
5953,22,K251,P.S. 251 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,1/25/17,F&E,7/11/17,100000,100000,100000,DSF: 0000844316
5954,22,K251,P.S. 251 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/19/17,7/19/17,8/23/17,150000,148873,148873,DSF: 0000845264
5955,22,K254,P.S. 254 - BROOKLYN,SCA Capacity,ADDITION,Scope,In-Progress,8/29/17,1/30/18,,1170497,1170497,121273,DSF: 0000798194
5956,22,K254,P.S. 254 - BROOKLYN,SCA Capacity,ADDITION,Design,PNS,PNS,PNS,PNS,3745591,3745591,51306,DSF: 0000798194
5957,22,K254,P.S. 254 - BROOKLYN,SCA Capacity,ADDITION,Construction,PNS,PNS,PNS,PNS,52531920,52531920,8560,DSF: 0000798194
5958,22,K254,P.S. 254 - BROOKLYN,SCA Capacity,ADDITION,"CM,Art,F&E",PNS,PNS,PNS,PNS,7397543,7397543,29550,DSF: 0000798194
5959,22,K254,P.S. 254 - BROOKLYN,SCA CIP,SANDY - HEATING/ELEC SYS/FLOOD ELIM/CLIMATE CONTRL,Scope,Complete,2/6/14,7/9/14,5/15/14,75223,96378,91230,"DSF: 0000781813, 0000781814, 0000798617, 0000798618"
5960,22,K254,P.S. 254 - BROOKLYN,SCA CIP,SANDY - HEATING/ELEC SYS/FLOOD ELIM/CLIMATE CONTRL,Design,Complete,5/16/14,10/17/14,11/24/14,296943,485535,370878,"DSF: 0000781813, 0000781814, 0000798617, 0000798618"
5961,22,K254,P.S. 254 - BROOKLYN,SCA CIP,SANDY - HEATING/ELEC SYS/FLOOD ELIM/CLIMATE CONTRL,Construction,Complete,3/30/15,9/19/16,7/7/17,5213297,5502388,4937424,"DSF: 0000781813, 0000781814, 0000798617, 0000798618"
5962,22,K254,P.S. 254 - BROOKLYN,SCA CIP,SANDY - HEATING/ELEC SYS/FLOOD ELIM/CLIMATE CONTRL,"CM, F&E",Complete,3/30/15,9/19/16,7/7/17,402374,682367,658513,"DSF: 0000781813, 0000781814, 0000798617, 0000798618"
5963,22,K254,P.S. 254 - BROOKLYN,SCA IEH,"IEH PO18-RMS 215,217,221",Construction,In-Progress,9/6/17,IEH,,IEH,88647,4948,DSF: 0000048573
5964,22,K254,P.S. 254 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,100000,100000,0,DSF: 0000844348
5965,22,K254,P.S. 254 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,153000,153000,0,DSF: 0000845103
5966,22,K254,P.S. 254 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,441325,0,DSF: 0000776859
5967,22,K255,P.S. 255 - BROOKLYN,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,1/20/15,4/20/15,4/7/15,0,10210,10210,DSF: 0000800354
5968,22,K255,P.S. 255 - BROOKLYN,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,6/22/16,11/7/16,12/6/16,23586,35442,34520,DSF: 0000800354
5969,22,K255,P.S. 255 - BROOKLYN,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Construction,Complete,3/10/17,11/4/17,10/27/17,345935,335930,165698,DSF: 0000800354
5970,22,K255,P.S. 255 - BROOKLYN,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",Complete,3/10/17,11/4/17,10/27/17,23586,38892,36367,DSF: 0000800354
5971,22,K269,P.S. 269 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867256
5972,22,K269,P.S. 269 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,4500,4500,0,DSF: 0000867256
5973,22,K269,P.S. 269 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,66000,66000,0,DSF: 0000867256
5974,22,K269,P.S. 269 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,4500,4500,0,DSF: 0000867256
5975,22,K269,P.S. 269 - BROOKLYN,SCA IEH,"IEH PO18-3RD FLR CORRIDOR, STAIRCASE LANDING 5&6",Construction,Complete,3/7/17,IEH,9/21/17,IEH,53624,3484,DSF: 0000045569
5976,22,K269,P.S. 269 - BROOKLYN,SCA IEH,"IEH PO18-2ND FL CORRIDOR, STAIRCASE LANDINGS (5&6)",Construction,In-Progress,11/6/17,IEH,,IEH,74548,772,DSF: 0000049248
5977,22,K269,P.S. 269 - BROOKLYN,SCA IEH,"IEH PO18-RMS 303,316,317,301,313",Construction,In-Progress,11/27/17,IEH,,IEH,936,436,DSF: 0000049487
5978,22,K269,P.S. 269 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/22/17,1/15/18,8/4/17,50000,49624,49624,DSF: 0000844350
5979,22,K269,P.S. 269 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/22/17,1/15/18,8/4/17,35000,34738,34738,DSF: 0000845493
5980,27,Q400,AUGUST MARTIN HS - QUEENS,SCA IEH,"IEH PO18-ROOM 211, B32",Construction,In-Progress,6/8/17,IEH,,IEH,1288,788,DSF: 0000047225
5981,27,Q400,AUGUST MARTIN HS - QUEENS,SCA IEH,"IEH PO18-ROOMS 183, 306 AND 351",Construction,In-Progress,10/16/17,IEH,,IEH,4500,0,DSF: 0000048969
5982,27,Q400,AUGUST MARTIN HS - QUEENS,DOE- RESOA,FY17 RESO A TOILETS-STUDENTS,Construction,In-Progress,9/21/17,DOER,,152153,152153,152153,DSF: 0000844985
5983,27,Q401,AUGUST MARTIN HS - QUEENS,SCA IEH,SOIL INVESTIGATION AND REMEDIATION,Construction,In-Progress,3/22/16,IEH,,IEH,35116,23003,DSF: 0000843738
5984,27,Q410,BEACH CHANNEL HS - QUEENS,SCA CIP,SANDY:HTNG/ELEC/FLD/CLIMATE/ PIPING/INT/GENERATOR,Scope,Complete,2/4/14,7/7/14,4/30/14,361497,302609,300301,"DSF: 0000791453, 0000791457, 0000791458, 0000791459, 0000799435, 0000799931, 0000799946"
5985,27,Q410,BEACH CHANNEL HS - QUEENS,SCA CIP,SANDY:HTNG/ELEC/FLD/CLIMATE/ PIPING/INT/GENERATOR,Design,Complete,5/14/14,10/15/14,8/19/14,1426899,942664,843733,"DSF: 0000791453, 0000791457, 0000791458, 0000791459, 0000799435, 0000799931, 0000799946"
5986,27,Q410,BEACH CHANNEL HS - QUEENS,SCA CIP,SANDY:HTNG/ELEC/FLD/CLIMATE/ PIPING/INT/GENERATOR,Construction,Complete,3/23/15,9/7/17,9/28/17,25041012,22681342,18908302,"DSF: 0000791453, 0000791457, 0000791458, 0000791459, 0000799435, 0000799931, 0000799946"
5987,27,Q410,BEACH CHANNEL HS - QUEENS,SCA CIP,SANDY:HTNG/ELEC/FLD/CLIMATE/ PIPING/INT/GENERATOR,"CM, F&E",Complete,3/23/15,9/7/17,9/28/17,1935163,424271,409815,"DSF: 0000791453, 0000791457, 0000791458, 0000791459, 0000799435, 0000799931, 0000799946"
5988,27,Q410,ROCKAWAY COLLEGIATE HIGH SCHL,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,7/14/16,11/14/16,1/17/17,10950,3649,3649,DSF: 0000843862
5989,27,Q410,ROCKAWAY COLLEGIATE HIGH SCHL,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/17/17,7/17/17,5/9/17,40150,14664,14664,DSF: 0000843862
5990,27,Q410,ROCKAWAY COLLEGIATE HIGH SCHL,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,6/19/17,3/15/18,,425225,386961,132616,DSF: 0000843862
5991,27,Q410,ROCKAWAY COLLEGIATE HIGH SCHL,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,6/19/17,3/15/18,,367470,316266,10969,DSF: 0000843862
5992,27,Q410,BEACH CHANNEL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/03,9/12/03,9/12/03,720,210,210,DSF: 0000012009
5993,27,Q410,BEACH CHANNEL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/04,5/15/05,4/18/05,2600,6030,6030,DSF: 0000012009
5994,27,Q410,BEACH CHANNEL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,9/7/06,4/15/07,,77000,73695,73523,DSF: 0000012009
5995,27,Q410,BEACH CHANNEL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,9/7/06,4/15/07,,12240,20114,20114,DSF: 0000012009
5996,27,Q410,ROCKAWAY COLLEGIATE HIGH SCHL,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,4/25/17,F&E,11/10/17,60000,60000,59895,DSF: 0000845419
5997,27,Q410,BEACH CHANNEL HS - QUEENS,Fast Track Projects,SANDY FIRE ALARM/NON SANDY PA SYSTEM,Construction,In-Progress,12/27/13,FTK,,FTK,10573837,9952978,"DSF: 0000745774, 0000768689"
5998,27,Q410,ROCKAWAY PARK HIGH SCHOOL FOR,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,Complete,6/27/16,7/19/16,11/3/17,100000,99230,99230,DSF: 0000823318
5999,27,Q410,CHANNEL VIEW SCHOOL FOR RESEAR,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/17,1/25/18,,35000,34737,34737,DSF: 0000844440
6000,27,Q410,ROCKAWAY COLLEGIATE HIGH SCHOO,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/17,2/5/18,,100000,99237,99237,DSF: 0000845441
6001,27,Q410,CHANNEL VIEW SCHOOL FOR RESEAR,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/17,1/25/18,,50000,49625,49625,DSF: 0000845526
6002,27,Q410,CHANNEL VIEW SCL FOR RESEARCH,DOE- RESOA,RESO A GYMNASIUM UPGRADE,Construction,In-Progress,11/9/17,DOER,,0,0,62741,DSF: 0000843948
6003,27,Q411,BEACH CHANNEL HS - QUEENS,Fast Track Projects,SANDY REPAIRS-ATHLETIC FIELD,Construction,Complete,3/13/14,FTK,5/16/16,FTK,3308055,3224860,DSF: 0000799463
6004,27,Q465,FREDERICK DOUGLASS ACAD VI HS,SCA CIP,MSNRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUC REPR,Scope,Complete,6/5/13,10/21/13,1/22/14,320655,172470,164522,"DSF: 0000026014, 0000791745, 0000791746, 0000791747, 0000791748"
6005,27,Q465,FREDERICK DOUGLASS ACAD VI HS,SCA CIP,MSNRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUC REPR,Design,Complete,3/10/14,8/7/14,12/3/14,1282620,668811,536426,"DSF: 0000026014, 0000791745, 0000791746, 0000791747, 0000791748"
6006,27,Q465,FREDERICK DOUGLASS ACAD VI HS,SCA CIP,MSNRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUC REPR,Construction,In-Progress,5/30/17,3/10/19,,24049125,21772561,2291366,"DSF: 0000026014, 0000791745, 0000791746, 0000791747, 0000791748"
6007,27,Q465,FREDERICK DOUGLASS ACAD VI HS,SCA CIP,MSNRY/ROOFS/WINDOWS/PARAPETS/NATATORIUM STRUC REPR,"CM, F&E",In-Progress,5/30/17,3/10/19,,1496390,109270,74667,"DSF: 0000026014, 0000791745, 0000791746, 0000791747, 0000791748"
6008,27,Q465,M.S. 282 - QUEENS,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,7/1/16,11/1/16,1/17/17,7306,4924,4924,DSF: 0000843853
6009,27,Q465,M.S. 282 - QUEENS,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/17/17,7/17/17,4/20/17,26789,19759,19759,DSF: 0000843853
6010,27,Q465,M.S. 282 - QUEENS,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,6/19/17,4/14/18,,283721,253593,656,DSF: 0000843853
6011,27,Q465,M.S. 282 - QUEENS,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,6/19/17,4/14/18,,200917,166217,7796,DSF: 0000843853
6012,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Scope,Complete,2/2/17,4/3/17,5/16/17,0,12510,510,DSF: 0000844903
6013,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,15000,34695,2041,DSF: 0000844903
6014,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,220000,692344,10488,DSF: 0000844903
6015,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,15000,47205,543,DSF: 0000844903
6016,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,PNS,PNS,PNS,PNS,0,132,132,DSF: 0000844904
6017,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Design,PNS,PNS,PNS,PNS,9495,9363,528,DSF: 0000844904
6018,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,139260,139260,46,DSF: 0000844904
6019,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,9495,9495,94,DSF: 0000844904
6020,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A GYMNASIUM UPGRADE,Scope,Complete,2/2/17,4/3/17,4/21/17,0,12777,12777,DSF: 0000844905
6021,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A GYMNASIUM UPGRADE,Design,Complete,4/21/17,9/6/17,10/3/17,32505,41388,40398,DSF: 0000844905
6022,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,476740,476740,262,DSF: 0000844905
6023,27,Q465,M.S. 282 - QUEENS,SCA CIP RESOA,FY17 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,32505,32505,2978,DSF: 0000844905
6024,27,Q465,LYFE PROGRAM,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,In-Progress,10/3/17,1/5/18,,0,9685,786,DSF: 0000844906
6025,27,Q465,LYFE PROGRAM,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Design,PNS,PNS,PNS,PNS,23100,13415,3142,DSF: 0000844906
6026,27,Q465,LYFE PROGRAM,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,338800,338800,0,DSF: 0000844906
6027,27,Q465,LYFE PROGRAM,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",PNS,PNS,PNS,PNS,23100,23100,0,DSF: 0000844906
6028,27,Q465,FAR ROCKAWAY HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/03,9/12/03,9/12/03,720,61,61,DSF: 0000012010
6029,27,Q465,FAR ROCKAWAY HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,12/1/04,5/15/05,4/18/05,2600,14157,14157,DSF: 0000012010
6030,27,Q465,FAR ROCKAWAY HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,8/18/06,4/15/07,,77000,234787,233406,DSF: 0000012010
6031,27,Q465,FAR ROCKAWAY HS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,8/18/06,4/15/07,,12240,20850,20850,DSF: 0000012010
6032,27,Q465,M.S. 282 - QUEENS,SCA IEH,IEH PO18-KITCHEN,Construction,In-Progress,7/31/17,IEH,,IEH,24287,1512,DSF: 0000047869
6033,27,Q465,FREDERICK DOUGLASS ACADEMY VI,Fast Track Projects,CTF-ROOM CONVERSION,Construction,In-Progress,4/7/15,FTK,,FTK,700432,663908,DSF: 0000821673
6034,27,Q465,QNS HS FOR INF. RESEARCH & TEC,Fast Track Projects,CTF-ROOM CONVERSION,Construction,In-Progress,4/7/15,FTK,,FTK,1190407,1061398,DSF: 0000821672
6035,27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,STEEL DETERIORATED COLUMS & COLUMN,Scope,Complete,5/1/14,9/12/14,10/24/14,15966,41259,40047,DSF: 0000799900
6036,27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,STEEL DETERIORATED COLUMS & COLUMN,Design,Complete,12/17/14,5/20/15,12/30/15,63864,134591,116133,DSF: 0000799900
6037,27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,STEEL DETERIORATED COLUMS & COLUMN,Construction,In-Progress,8/14/17,5/10/18,,1197450,1090445,7905,DSF: 0000799900
6038,27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP,STEEL DETERIORATED COLUMS & COLUMN,"CM, F&E",In-Progress,8/14/17,5/10/18,,74508,39430,23248,DSF: 0000799900
6039,27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866331
6040,27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,150000,150000,0,DSF: 0000866331
6041,27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,2200000,2200000,0,DSF: 0000866331
6042,27,Q475,RICHMOND HILL HS - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,150000,150000,0,DSF: 0000866331
6043,27,Q475,RICHMOND HILL HS - QUEENS,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/03,9/12/03,9/12/03,720,766,766,DSF: 0000011862
